Step,RAC,ent1,prop1,ent2,prop2,ent3,prop3,
150,0.0925668,0.0925668,1,0.0953168,0.999993,0.114953,1.00001,
151,0.0925155,0.0925155,0.99999,0.0953929,0.999995,0.115169,1.00001,
152,0.092463,0.092463,0.999991,0.0954683,0.999987,0.115384,1.00001,
153,0.0924098,0.0924098,1.00001,0.0955423,0.999991,0.115598,1,
154,0.0923566,0.0923566,1,0.0956154,1.00001,0.11581,0.999996,
155,0.0923021,0.0923021,1.00001,0.0956874,0.999992,0.11602,1,
156,0.0922471,0.0922471,0.999987,0.0957582,1.00001,0.116229,0.99999,
157,0.092191,0.092191,1,0.0958284,0.999999,0.116437,1.00001,
158,0.0921342,0.0921342,1.00001,0.0958972,0.999997,0.116643,0.999992,
159,0.0920773,0.0920773,0.999994,0.0959649,1.00001,0.116847,1,
160,0.0920191,0.0920191,0.999989,0.0960317,1.00001,0.11705,1,
161,0.0919605,0.0919605,1.00001,0.0960972,0.999999,0.117252,1.00001,
162,0.0919012,0.0919012,0.99999,0.0961617,1,0.117452,1,
163,0.0918411,0.0918411,0.999992,0.0962256,0.999997,0.117651,0.999998,
164,0.0917804,0.0917804,0.999988,0.0962882,1,0.117848,1.00001,
165,0.091719,0.091719,1,0.0963498,1,0.118044,1,
166,0.0916576,0.0916576,0.999992,0.0964104,1.00001,0.118238,1,
167,0.0915952,0.0915952,0.999996,0.09647,0.999988,0.118431,1.00001,
168,0.0915321,0.0915321,0.999994,0.0965284,1,0.118623,1.00001,
169,0.0914686,0.0914686,0.999987,0.096586,1.00001,0.118813,1.00001,
170,0.0914043,0.0914043,1,0.0966425,0.999998,0.119002,1,
171,0.0913398,0.0913398,1.00001,0.0966982,1.00001,0.119189,1,
172,0.0912751,0.0912751,0.999992,0.0967529,1.00001,0.119374,1.00001,
173,0.0912093,0.0912093,0.999989,0.0968068,0.999996,0.119559,0.999998,
174,0.091143,0.091143,1.00001,0.0968596,1,0.119742,1,
175,0.0910764,0.0910764,0.999997,0.0969115,0.999995,0.119923,1.00001,
176,0.0910095,0.0910095,1.00001,0.0969622,1,0.120103,1.00001,
177,0.090942,0.090942,0.999991,0.0970122,1,0.120282,1.00001,
178,0.0908737,0.0908737,0.99999,0.0970612,0.999989,0.12046,1,
179,0.0908049,0.0908049,1.00001,0.0971096,0.999996,0.120636,1,
180,0.0907362,0.0907362,1,0.0971566,0.99999,0.12081,0.999991,
181,0.0906669,0.0906669,0.999994,0.0972031,1,0.120983,1.00001,
182,0.0905968,0.0905968,1,0.0972487,1,0.121155,1.00001,
183,0.0905262,0.0905262,1,0.0972934,0.999998,0.121326,1,
184,0.0904558,0.0904558,1.00001,0.0973371,1.00001,0.121495,1,
185,0.0903845,0.0903845,1.00001,0.09738,1.00001,0.121663,0.999992,
186,0.0903133,0.0903133,1,0.0974221,0.999998,0.121829,1.00001,
