Step,RAC,ent1,ent2,ent3,ent4,
186,0,-0.765967,0.717238,0.565617,0.390653,
187,0,-0.764889,0.712859,0.56521,0.391458,
188,0,-0.763805,0.708527,0.56477,0.392252,
189,0,-0.762714,0.70424,0.564297,0.393034,
190,0,-0.761616,0.7,0.563794,0.393804,
191,0,-0.760511,0.695804,0.563261,0.394561,
192,0,-0.7594,0.691652,0.562698,0.395306,
193,0,-0.758281,0.687542,0.562108,0.396039,
194,0,-0.757156,0.683474,0.56149,0.39676,
195,0,-0.756021,0.679449,0.560845,0.397466,
196,0,-0.754879,0.675464,0.560175,0.398159,
197,0,-0.753728,0.67152,0.559481,0.398838,
198,0,-0.75257,0.667614,0.558762,0.399504,
199,0,-0.751405,0.663746,0.55802,0.400157,
200,0,-0.750231,0.659917,0.557256,0.400795,
201,0,-0.749049,0.656125,0.556469,0.401421,
202,0,-0.747859,0.65237,0.555662,0.402032,
203,0,-0.746661,0.648649,0.554835,0.402629,
204,0,-0.745455,0.644965,0.553987,0.403212,
205,0,-0.74424,0.641314,0.553121,0.403782,
206,0,-0.743018,0.637698,0.552235,0.404338,
207,0,-0.741787,0.634114,0.551332,0.40488,
208,0,-0.740547,0.630563,0.550412,0.405407,
209,0,-0.7393,0.627046,0.549475,0.405921,
210,0,-0.738044,0.623559,0.548521,0.40642,
211,0,-0.736779,0.620102,0.547552,0.406906,
212,0,-0.735507,0.616677,0.546568,0.407378,
213,0,-0.734226,0.613282,0.545569,0.407836,
214,0,-0.732937,0.609915,0.544556,0.408279,
215,0,-0.73164,0.606579,0.543529,0.40871,
216,0,-0.730334,0.60327,0.542488,0.409126,
217,0,-0.72902,0.599989,0.541435,0.409528,
218,0,-0.727698,0.596736,0.540369,0.409917,
219,0,-0.726369,0.593511,0.539292,0.410292,
220,0,-0.72503,0.590311,0.538201,0.410654,
221,0,-0.723685,0.587138,0.537101,0.411002,
222,0,-0.722331,0.583991,0.535989,0.411337,
223,0,-0.720969,0.580869,0.534867,0.411658,
224,0,-0.7196,0.577772,0.533735,0.411966,
225,0,-0.718222,0.5747,0.532593,0.41226,
226,0,-0.716837,0.571652,0.531441,0.412541,
227,0,-0.715444,0.568629,0.53028,0.412809,
228,0,-0.714043,0.565627,0.52911,0.413065,
229,0,-0.712635,0.56265,0.527931,0.413308,
230,0,-0.71122,0.559695,0.526744,0.413538,
231,0,-0.709798,0.556763,0.525549,0.413755,
232,0,-0.708367,0.553852,0.524347,0.41396,
233,0,-0.70693,0.550964,0.523136,0.414152,
234,0,-0.705486,0.548097,0.521919,0.414332,
235,0,-0.704035,0.545251,0.520694,0.4145,
236,0,-0.702576,0.542426,0.519463,0.414655,
237,0,-0.701111,0.539622,0.518225,0.414798,
238,0,-0.699639,0.536838,0.516981,0.41493,
239,0,-0.69816,0.534074,0.515731,0.415049,
240,0,-0.696674,0.531329,0.514475,0.415157,
241,0,-0.695182,0.528604,0.513213,0.415253,
242,0,-0.693684,0.525899,0.511946,0.415337,
