Step,1,2,3,4,5,6,1+3=4,2+3=5,1+5=6,2+4=6,3+3=6,RAC0,RAC1,RAC2,RAC3,
166,25.1719,18.5155,0.0665213,7.54687,0.0748468,0.900373,1.55913,0.594342,0.985655,0.248814,-0.907523,0,0,0,0,
167,25.2959,18.3788,0.0661881,7.55619,0.0741149,0.893219,1.55893,0.586831,0.983668,0.248928,-0.900348,0,0,0,0,
168,25.4197,18.2432,0.0658535,7.56512,0.0733875,0.886088,1.5586,0.579388,0.981581,0.249004,-0.893194,0,0,0,0,
169,25.5434,18.1086,0.0655174,7.57365,0.0726645,0.878979,1.55815,0.572012,0.979398,0.249045,-0.886063,0,0,0,0,
170,25.667,17.9751,0.0651799,7.5818,0.0719461,0.871893,1.55758,0.564705,0.977118,0.249052,-0.878955,0,0,0,0,
171,25.7905,17.8426,0.064841,7.58957,0.0712321,0.864831,1.55689,0.557464,0.974745,0.249025,-0.871869,0,0,0,0,
172,25.9139,17.7112,0.0645008,7.59695,0.0705227,0.857793,1.55608,0.550291,0.97228,0.248965,-0.864807,0,0,0,0,
173,26.0372,17.5808,0.0641594,7.60395,0.0698178,0.850779,1.55516,0.543186,0.969724,0.248875,-0.857769,0,0,0,0,
174,26.1603,17.4514,0.0638168,7.61058,0.0691175,0.84379,1.55411,0.536148,0.967079,0.248753,-0.850755,0,0,0,0,
175,26.2834,17.323,0.063473,7.61683,0.0684218,0.836826,1.55295,0.529176,0.964348,0.248602,-0.843766,0,0,0,0,
176,26.4063,17.1957,0.0631281,7.62271,0.0677307,0.829888,1.55167,0.522272,0.961532,0.248423,-0.836803,0,0,0,0,
177,26.5292,17.0694,0.0627821,7.62822,0.0670442,0.822976,1.55028,0.515435,0.958632,0.248215,-0.829865,0,0,0,0,
178,26.6519,16.944,0.0624352,7.63337,0.0663623,0.816091,1.54877,0.508664,0.955651,0.247979,-0.822953,0,0,0,0,
179,26.7745,16.8197,0.0620873,7.63815,0.0656851,0.809233,1.54715,0.501961,0.95259,0.247717,-0.816069,0,0,0,0,
180,26.897,16.6963,0.0617385,7.64256,0.0650126,0.802403,1.54541,0.495324,0.949452,0.247429,-0.809211,0,0,0,0,
181,27.0193,16.5739,0.0613889,7.64662,0.0643448,0.795601,1.54357,0.488753,0.946239,0.247116,-0.802381,0,0,0,0,
182,27.1416,16.4525,0.0610385,7.65032,0.0636817,0.788828,1.54162,0.482249,0.942951,0.246778,-0.79558,0,0,0,0,
183,27.2637,16.332,0.0606875,7.65367,0.0630233,0.782084,1.53955,0.475811,0.939591,0.246415,-0.788807,0,0,0,0,
184,27.3856,16.2125,0.0603358,7.65667,0.0623697,0.77537,1.53738,0.46944,0.936161,0.246029,-0.782063,0,0,0,0,
185,27.5075,16.094,0.0599835,7.65931,0.0617208,0.768686,1.53511,0.463134,0.932662,0.24562,-0.775349,0,0,0,0,
186,27.6292,15.9764,0.0596306,7.66162,0.0610768,0.762033,1.53273,0.456894,0.929097,0.245188,-0.768666,0,0,0,0,
187,27.7508,15.8597,0.0592773,7.66357,0.0604375,0.755411,1.53024,0.45072,0.925467,0.244735,-0.762013,0,0,0,0,
188,27.8722,15.7439,0.0589235,7.66519,0.0598031,0.748821,1.52766,0.444611,0.921775,0.24426,-0.755391,0,0,0,0,
189,27.9935,15.6291,0.0585694,7.66646,0.0591734,0.742262,1.52497,0.438567,0.918022,0.243763,-0.748801,0,0,0,0,
190,28.1147,15.5152,0.058215,7.66741,0.0585487,0.735737,1.52219,0.432589,0.914209,0.243246,-0.742243,0,0,0,0,
191,28.2357,15.4022,0.0578604,7.66801,0.0579287,0.729244,1.51931,0.426675,0.910339,0.242709,-0.735717,0,0,0,0,
192,28.3565,15.2901,0.0575055,7.66829,0.0573137,0.722784,1.51633,0.420827,0.906413,0.242152,-0.729225,0,0,0,0,
193,28.4773,15.1789,0.0571505,7.66824,0.0567035,0.716358,1.51325,0.415042,0.902433,0.241576,-0.722765,0,0,0,0,
194,28.5978,15.0685,0.0567954,7.66787,0.0560982,0.709966,1.51009,0.409322,0.898402,0.240981,-0.71634,0,0,0,0,
195,28.7182,14.9591,0.0564403,7.66717,0.0554978,0.703609,1.50683,0.403665,0.89432,0.240368,-0.709948,0,0,0,0,
196,28.8385,14.8505,0.0560852,7.66615,0.0549022,0.697287,1.50348,0.398072,0.890189,0.239737,-0.703591,0,0,0,0,
197,28.9586,14.7428,0.0557302,7.66482,0.0543116,0.691,1.50004,0.392543,0.886011,0.239088,-0.697269,0,0,0,0,
198,29.0786,14.6359,0.0553754,7.66317,0.0537258,0.684748,1.49652,0.387076,0.881788,0.238422,-0.690982,0,0,0,0,
199,29.1983,14.5299,0.0550206,7.66121,0.053145,0.678532,1.49291,0.381673,0.877521,0.237739,-0.68473,0,0,0,0,
200,29.318,14.4248,0.0546662,7.65895,0.052569,0.672353,1.48922,0.376331,0.873213,0.237039,-0.678515,0,0,0,0,
